"ItemType","Name","Enabled","Priority","Details"
"DlpPolicy","Default Office 365 DLP policy","True","0","Mode=TestWithNotifications; Locations=Exchange, SharePoint, OneDrive"
"DlpPolicy","Default policy for Teams","True","1","Mode=TestWithNotifications; Locations=Teams"
"DlpPolicy","Default policy for devices","True","2","Mode=TestWithNotifications; Locations=Endpoints"
"DlpPolicy","Default Customer Account Info Endpoint Policy","True","3","Mode=TestWithNotifications; Locations=Endpoints"
"DlpPolicy","Default IP and Trade Secrets Endpoint Policy","True","4","Mode=TestWithNotifications; Locations=Endpoints"
"DlpPolicy","Default IP and Trade Secrets M365 Policy","True","5","Mode=TestWithNotifications; Locations=Exchange, SharePoint, OneDrive, Teams"
"DlpPolicy","Default Healthcare Info Protection Policy","True","6","Mode=TestWithNotifications; Locations=Exchange, SharePoint, OneDrive, Teams, Endpoints"
"DlpPolicy","Default Finance Info Protection Policy","True","7","Mode=TestWithNotifications; Locations=Exchange, SharePoint, OneDrive, Teams, Endpoints"
"DlpPolicy","Default Customer Account Info M365 Policy","True","8","Mode=TestWithNotifications; Locations=Exchange, SharePoint, OneDrive, Teams"
"DlpPolicy","Default HR & Privacy Info Protection Policy","True","9","Mode=TestWithNotifications; Locations=Exchange, SharePoint, OneDrive, Teams, Endpoints"
"DlpRule","Default Endpoint DLP Policy Rule - Low Volume","True","0","SensitiveInfo=(Credit Card Number); Policy=Default policy for devices"
"DlpRule","Default Endpoint DLP Policy Rule - High Volume","True","1","SensitiveInfo=(Credit Card Number); Policy=Default policy for devices"
"DlpRule","EndpointDevices Content matches U.S HIPAA Enhanced Default Rule","True","2","Policy=Default policy for devices"
"DlpRule","EndpointDevices Content matches Source Code Default Rule","True","3","Policy=Default policy for devices"
"DlpRule","EndpointDevices Content Contains Intellectual Property","True","4","Policy=Default policy for devices"
"DlpRule","Default IP and Trade Secrets Endpoint Rule","True","0","Policy=Default IP and Trade Secrets Endpoint Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","Default Healthcare Info Protection Rule","True","0","SensitiveInfo=(SensitiveInfo); Policy=Default Healthcare Info Protection Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","Default Customer Account Info Endpoint Rule","True","0","SensitiveInfo=(SensitiveInfo); Policy=Default Customer Account Info Endpoint Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","Default Customer Account Info M365 Rule","True","0","SensitiveInfo=(SensitiveInfo); Policy=Default Customer Account Info M365 Policy; BlockAccess=True; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","Low volume - Default Finance Info Protection Policy","True","0","SensitiveInfo=(SensitiveInfo); Policy=Default Finance Info Protection Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","High volume - Default Finance Info Protection Policy","True","1","SensitiveInfo=(SensitiveInfo); Policy=Default Finance Info Protection Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","Items containing 1-9 credit card numbers shared externally","True","0","SensitiveInfo=(Credit Card Number); Policy=Default Office 365 DLP policy; NotifyUser=Owner, LastModifier, SiteAdmin"
"DlpRule","Items with 10 or more credit card numbers shared externally","True","1","SensitiveInfo=(Credit Card Number); Policy=Default Office 365 DLP policy; NotifyUser=Owner, LastModifier, SiteAdmin"
"DlpRule","Content matches U.S HIPAA Enhanced Default Rule","True","2","Policy=Default Office 365 DLP policy"
"DlpRule","Content matches Source Code Default Rule","True","3","Policy=Default Office 365 DLP policy"
"DlpRule","Content Contains Intellectual Property","True","4","Policy=Default Office 365 DLP policy"
"DlpRule","Default IP and Trade Secrets M365 Rule","True","0","SensitiveInfo=(SensitiveInfo); Policy=Default IP and Trade Secrets M365 Policy; BlockAccess=True; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","Default Teams DLP policy rule","True","0","SensitiveInfo=(Credit Card Number); Policy=Default policy for Teams"
"DlpRule","Teams Content matches U.S HIPAA Enhanced Default Rule","True","1","Policy=Default policy for Teams"
"DlpRule","Teams Content matches Source Code Default Rule","True","2","Policy=Default policy for Teams"
"DlpRule","Teams Content Contains Intellectual Property","True","3","Policy=Default policy for Teams"
"DlpRule","Low volume - Default HR & Privacy Info Protection Policy","True","0","SensitiveInfo=(SensitiveInfo); Policy=Default HR & Privacy Info Protection Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"DlpRule","High volume - Default HR & Privacy Info Protection Policy","True","1","SensitiveInfo=(SensitiveInfo); Policy=Default HR & Privacy Info Protection Policy; NotifyUser=SiteAdmin, LastModifier, Owner"
"SensitivityLabel","Personal","True","0","ContentType=File, Email; Tooltip=Non-business data, for personal use only."
"SensitivityLabel","Anyone (unrestricted)","True","3","ParentId=defa4170-0d19-0005-0002-bc88714345d2; ContentType=File, Email; Tooltip=Organization data that isn't intended for public consumption but can be shared with external partners if appropriate. Examples include customer conversations that don't include sensitive info or released marketing materials."
"SensitivityLabel","All Employees (unrestricted)","True","4","ParentId=defa4170-0d19-0005-0002-bc88714345d2; ContentType=File, Email; Tooltip=Organization data that isn't intended for public consumption. If you need to share this content with external partners, make sure it's appropriate with data owners and relabel content as General/Anyone (unrestricted). Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication."
"SensitivityLabel","Anyone (unrestricted)","True","6","ParentId=defa4170-0d19-0005-0005-bc88714345d2; ContentType=File, Email; Tooltip=Data that does not require protection. Use this option with care and with appropriate business justification."
"SensitivityLabel","All Employees","True","7","ParentId=defa4170-0d19-0005-0005-bc88714345d2; ContentType=File, Email; Tooltip=Confidential data that requires protection, which allows all employees full permissions. Data owners can track and revoke content."
"SensitivityLabel","Trusted People","True","8","ParentId=defa4170-0d19-0005-0005-bc88714345d2; ContentType=File, Email; Tooltip=Confidential data for internal/external sharing that can be reshared by trusted recipients."
"SensitivityLabel","All Employees","True","10","ParentId=defa4170-0d19-0005-0009-bc88714345d2; ContentType=File, Email; Tooltip=Highly confidential data that allows all employees view, edit, and reply permissions to this content. Data owners can track and revoke content."
"SensitivityLabel","Specified People","True","11","ParentId=defa4170-0d19-0005-0009-bc88714345d2; ContentType=File, Email; Tooltip=Highly Confidential data that requires protection and that can only be viewed by specified people, with limited rights."
"SensitivityLabel","Public","True","1","ContentType=File, Email; Tooltip=Business data that is specifically prepared and approved for public consumption."
"SensitivityLabel","General","True","2","ContentType=File, Email; Tooltip=Business data that is not intended for public consumption. However, this can be shared with external partners, as required. Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication."
"SensitivityLabel","Confidential","True","5","ContentType=File, Email; Tooltip=Sensitive business data that could cause damage to the business if shared with unauthorized people. Examples include contracts, security reports, forecast summaries, and sales account data."
"SensitivityLabel","Highly Confidential","True","9","ContentType=File, Email; Tooltip=Very sensitive business data that would cause damage to the business if it was shared with unauthorized people. Examples include employee and customer information, passwords, source code, and pre-announced financial reports."
