"ActionName","Category","ScoreImpact","CurrentScore","MaxScore","ImplementationStatus","UserImpact","Threats"
"IntegratedApps","N/A","0","0","0","You have no user consent policy in place.","N/A","N/A"
"PWAgePolicyNew","N/A","100","8","0","Your current policy is set to never let passwords expire.","N/A","N/A"
"SelfServicePasswordReset","N/A","100","1","0","You have 0 of 4 users who don't have self-service password reset enabled.","N/A","N/A"
"BlockLegacyAuthentication","N/A","100","8","0","You have 0 of 4 users that don't have legacy authentication blocked.","N/A","N/A"
"MFARegistrationV2","N/A","100","9","0","You have 0 out of 4 users that aren’t registered with MFA.","N/A","N/A"
"AdminMFAV2","N/A","100","10","0","You have 0 out of 0 users with administrative roles that aren’t registered and protected with MFA.","N/A","N/A"
"SigninRiskPolicy","N/A","100","7","0","You have 0 of 4 users that don't have the sign-in risky policy turned on.","N/A","N/A"
"UserRiskPolicy","N/A","100","7","0","You have 0 users out of 4 that do not have user risk policy enabled.","N/A","N/A"
"OneAdmin","N/A","100","1","0","You currently have 4 global admins.","N/A","N/A"
"RoleOverlap","N/A","0","0","0","You have 1 users with least privileged administrative roles.","N/A","N/A"
"forms_phishing_protection","N/A","100","6","0","Internal phishing protection for Forms is: enabled","N/A","N/A"
"spo_block_onedrive_sync_unmanaged_devices","N/A","0","0","0","Blocking OneDrive for Business sync from unmanaged devices is: disabled","N/A","N/A"
"spo_external_sharing_managed","N/A","0","0","0","Document sharing is being controlled by domains setting is disabled","N/A","N/A"
"spo_external_users_sharing","N/A","0","0","0","Prevent external users from sharing files, folders, and sites that they don’t own is: disabled","N/A","N/A"
"admincenter_owned_apps_and_services","N/A","0","0","0","'User owned apps and services' is [Not Measured]","N/A","N/A"
"mip_DLP_policies_Teams","N/A","100","3","0","DLP policies in Teams are: true","N/A","N/A"
"aad_third_party_apps","N/A","0","0","0","Third party applications integration is: false","N/A","N/A"
"aad_admin_consent_workflow","N/A","0","0","0","Admin consent workflow is: false","N/A","N/A"
"aad_admin_accounts_separate_unassigned_cloud_only","N/A","0","0","0","Administrator accounts are separate, unassigned and cloud-only account: false","N/A","N/A"
"aad_password_protection","N/A","0","0","0","Microsoft Entra ID Password Protection is not configured","N/A","N/A"
"aad_custom_banned_passwords","N/A","0","0","0","Custom banned passwords lists are: disabled","N/A","N/A"
"aad_linkedin_connection_disables","N/A","0","0","0","LinkedIn account connections is - Not disabled","N/A","N/A"
"sway_block_sharing_with_outside_users","N/A","0","0","0","Sharing SWAY outside the organization is enabled","N/A","N/A"
"mcas_mda_enabled","N/A","100","5","0","Defender for Cloud Apps is: true","N/A","N/A"
"exo_SPF_records_for_all_domains","N/A","100","5","0","SPF is: true","N/A","N/A"
"meeting_restrictanonymousjoin_v1","N/A","0","0","0","current status: On","N/A","N/A"
"AATP_AccountWithLeakedCredentials","N/A","100","5","0","","N/A","N/A"
