"Category","Setting","CurrentValue","RecommendedValue","Status","CheckId","Remediation"
"Anti-Phishing","Phishing Threshold (Default)","1","2+ (Aggressive)","Fail","DEFENDER-ANTIPHISH-001.1","Run: Set-AntiPhishPolicy -Identity <PolicyName> -PhishThresholdLevel 2. Security admin center > Anti-phishing > Edit policy > Set threshold to 2 (Aggressive) or higher."
"Anti-Spam","Bulk Complaint Level Threshold (Default)","7","6 or lower","Warning","DEFENDER-ANTISPAM-001.1","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -BulkThreshold 6. Security admin center > Anti-spam > Inbound policy > Bulk email threshold > Set to 6 or lower."
"Anti-Spam","Spam Action (Default)","MoveToJmf","MoveToJmf or Quarantine","Pass","DEFENDER-ANTISPAM-001.2","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -SpamAction MoveToJmf. Security admin center > Anti-spam > Inbound policy > Spam action > Move to Junk Email folder."
"Anti-Spam","High Confidence Spam Action (Default)","MoveToJmf","Quarantine","Warning","DEFENDER-ANTISPAM-001.3","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -HighConfidenceSpamAction Quarantine. Security admin center > Anti-spam > Inbound policy > High confidence spam action > Quarantine."
"Anti-Spam","High Confidence Phish Action (Default)","Quarantine","Quarantine","Pass","DEFENDER-ANTISPAM-001.4","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -HighConfidencePhishAction Quarantine. Security admin center > Anti-spam > Inbound policy > High confidence phishing action > Quarantine."
"Anti-Spam","Phishing Action (Default)","MoveToJmf","Quarantine","Warning","DEFENDER-ANTISPAM-001.5","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -PhishSpamAction Quarantine. Security admin center > Anti-spam > Inbound policy > Phishing action > Quarantine."
"Anti-Spam","Zero-Hour Auto Purge (Default)","True","True","Pass","DEFENDER-ANTISPAM-001.6","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -ZapEnabled $true. Security admin center > Anti-spam > Inbound policy > Zero-hour auto purge > Enabled."
"Anti-Spam","Spam ZAP (Default)","True","True","Pass","DEFENDER-ANTISPAM-001.7","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -SpamZapEnabled $true. Security admin center > Anti-spam > Inbound policy > Zero-hour auto purge for spam > Enabled."
"Anti-Spam","Phishing ZAP (Default)","True","True","Pass","DEFENDER-ANTISPAM-001.8","Run: Set-HostedContentFilterPolicy -Identity <PolicyName> -PhishZapEnabled $true. Security admin center > Anti-spam > Inbound policy > Zero-hour auto purge for phishing > Enabled."
"Anti-Malware","Common Attachment Filter (Default)","True","True","Pass","DEFENDER-ANTIMALWARE-001.1","Run: Set-MalwareFilterPolicy -Identity <PolicyName> -EnableFileFilter $true. Security admin center > Anti-malware > Default policy > Common attachments filter > Enable."
"Anti-Malware","Malware ZAP (Default)","True","True","Pass","DEFENDER-ANTIMALWARE-001.2","Run: Set-MalwareFilterPolicy -Identity <PolicyName> -ZapEnabled $true. Security admin center > Anti-malware > Default policy > Zero-hour auto purge for malware > Enabled."
"Anti-Malware","Internal Sender Admin Notifications (Default)","False","True","Warning","DEFENDER-ANTIMALWARE-002.1","Run: Set-MalwareFilterPolicy -Identity <PolicyName> -EnableInternalSenderAdminNotifications $true -InternalSenderAdminAddress admin@domain.com. Security admin center > Anti-malware > Default policy > Admin notifications > Notify admin about undelivered messages from internal senders."
"Safe Links","Real-time URL Scanning (Built-In Protection Policy)","True","True","Pass","DEFENDER-SAFELINKS-001.1","Run: Set-SafeLinksPolicy -Identity <PolicyName> -ScanUrls $true. Security admin center > Safe Links policy > URL & click protection > Enable real-time URL scanning."
"Safe Links","Track User Clicks (Built-In Protection Policy)","True","True","Pass","DEFENDER-SAFELINKS-001.2","Run: Set-SafeLinksPolicy -Identity <PolicyName> -DoNotTrackUserClicks $false. Security admin center > Safe Links policy > Ensure ""Do not track when users click protected links"" is disabled."
"Safe Links","Enable for Internal Senders (Built-In Protection Policy)","False","True","Warning","DEFENDER-SAFELINKS-001.3","Run: Set-SafeLinksPolicy -Identity <PolicyName> -EnableForInternalSenders $true. Security admin center > Safe Links policy > Enable for messages sent within the organization."
"Safe Links","Wait for URL Scan (Built-In Protection Policy)","True","True","Pass","DEFENDER-SAFELINKS-001.4","Run: Set-SafeLinksPolicy -Identity <PolicyName> -DeliverMessageAfterScan $true. Security admin center > Safe Links policy > Wait for URL scanning to complete before delivering the message."
"Safe Attachments","Policy Enabled (Built-In Protection Policy)","True","True","Pass","DEFENDER-SAFEATTACH-001.1","Run: Set-SafeAttachmentPolicy -Identity <PolicyName> -Enable $true. Security admin center > Safe Attachments policy > Enable the policy."
"Safe Attachments","Action (Built-In Protection Policy)","Block","Block or Dynamic Delivery","Pass","DEFENDER-SAFEATTACH-001.2","Run: Set-SafeAttachmentPolicy -Identity <PolicyName> -Action Block. Security admin center > Safe Attachments policy > Action > Block (or DynamicDelivery for user experience)."
"Safe Attachments","Redirect to Admin (Built-In Protection Policy)","False","True","Warning","DEFENDER-SAFEATTACH-001.3","Run: Set-SafeAttachmentPolicy -Identity <PolicyName> -Redirect $true -RedirectAddress admin@domain.com. Security admin center > Safe Attachments policy > Enable redirect and specify an admin email."
"Safe Attachments","Safe Attachments for SPO/OneDrive/Teams","True","True","Pass","DEFENDER-SAFEATTACH-002.1","Run: Set-AtpPolicyForO365 -EnableATPForSPOTeamsODB $true. Security admin center > Safe Attachments > Global settings > Turn on Defender for Office 365 for SharePoint, OneDrive, and Microsoft Teams."
"Outbound Spam","Auto-Forwarding Mode (Default)","Automatic","Off","Warning","DEFENDER-OUTBOUND-001.1","Run: Set-HostedOutboundSpamFilterPolicy -Identity <PolicyName> -AutoForwardingMode Off. Security admin center > Anti-spam > Outbound policy > Auto-forwarding rules > Off."
"Outbound Spam","BCC on Suspicious Outbound (Default)","False","True","Warning","DEFENDER-OUTBOUND-001.2","Run: Set-HostedOutboundSpamFilterPolicy -Identity <PolicyName> -BccSuspiciousOutboundMail $true -BccSuspiciousOutboundAdditionalRecipients admin@domain.com. Security admin center > Anti-spam > Outbound policy > Notifications > BCC suspicious outbound messages."
"Outbound Spam","Notify Admins of Outbound Spam (Default)","False","True","Warning","DEFENDER-OUTBOUND-001.3","Run: Set-HostedOutboundSpamFilterPolicy -Identity <PolicyName> -NotifyOutboundSpam $true -NotifyOutboundSpamRecipients admin@domain.com. Security admin center > Anti-spam > Outbound policy > Notifications > Notify admin of outbound spam."
"Anti-Malware","Comprehensive Attachment Filter (Default)","53 types blocked. Missing: dmg, js, jse, ps1, rgs, vhd","30+ dangerous types blocked","Fail","DEFENDER-MALWARE-002.1","Add missing file types via: Set-MalwareFilterPolicy -Identity Default -FileTypes @{Add='ext1','ext2'}. Security admin center > Anti-malware > Default policy > Common attachments filter > Customize file types."
"Anti-Spam","Allowed Sender Domains (Default)","0 allowed domains","No allowed domains","Pass","DEFENDER-ANTISPAM-002.1","No action needed."
"Priority Accounts","Preset Security Policies Configured","No preset policies","Strict or Standard preset policy configured","Fail","DEFENDER-PRIORITY-001.1","Configure preset security policies in Security admin center > Preset security policies > Strict or Standard protection > Assign users/groups."
"Priority Accounts","Strict Preset Covers Priority Users","No strict preset policy found","Strict preset targets priority accounts","Fail","DEFENDER-PRIORITY-002.1","Enable the Strict preset security policy and assign priority accounts. Security admin center > Preset security policies > Strict protection."
"Zero-Hour Auto Purge","ZAP for Teams","Property not available on current license","Defender for Office 365 with Teams ZAP","Review","DEFENDER-ZAP-001.1","ZAP for Teams requires Defender for Office 365 Plan 2. Verify license and check Security admin center > Settings > Zero-hour auto purge."
