"Category","Setting","CurrentValue","RecommendedValue","Status","CheckId","Remediation"
"Conditional Access","MFA Required for Admin Roles","No matching CA policy found","At least 1 policy","Fail","CA-MFA-ADMIN-001.1","Create a CA policy: Target admin directory roles > Grant > Require multifactor authentication. Entra admin center > Protection > Conditional Access > New policy."
"Conditional Access","MFA Required for All Users","No matching CA policy found","At least 1 policy","Fail","CA-MFA-ALL-001.1","Create a CA policy: Target All users > All cloud apps > Grant > Require multifactor authentication. Entra admin center > Protection > Conditional Access > New policy."
"Conditional Access","Legacy Authentication Blocked","No matching CA policy found","At least 1 policy","Fail","CA-LEGACYAUTH-001.1","Create a CA policy: Target All users > Conditions > Client apps > Exchange ActiveSync clients + Other clients > Grant > Block access. Entra admin center > Protection > Conditional Access."
"Conditional Access","Sign-in Frequency for Admin Roles","No matching CA policy found","At least 1 policy","Fail","CA-SIGNIN-FREQ-001.1","Create a CA policy: Target admin roles > Session > Sign-in frequency (e.g., 4 hours) + Persistent browser session = Never. Entra admin center > Protection > Conditional Access."
"Conditional Access","Phishing-Resistant MFA for Admins","No matching CA policy found","At least 1 policy","Fail","CA-PHISHRES-001.1","Create a CA policy: Target admin roles > Grant > Require authentication strength > Phishing-resistant MFA. Entra admin center > Protection > Conditional Access."
"Conditional Access","User Risk Policy Configured","No matching CA policy found","At least 1 policy","Fail","CA-USERRISK-001.1","Create a CA policy: Target All users > Conditions > User risk > High > Grant > Require password change + MFA. Entra admin center > Protection > Conditional Access."
"Conditional Access","Sign-in Risk Policy Configured","No matching CA policy found","At least 1 policy","Fail","CA-SIGNINRISK-001.1","Create a CA policy: Target All users > Conditions > Sign-in risk > High, Medium > Grant > Require MFA. Entra admin center > Protection > Conditional Access."
"Conditional Access","Sign-in Risk Blocks Medium+High","No matching CA policy found","At least 1 policy","Fail","CA-SIGNINRISK-002.1","Create a CA policy: Target All users > Conditions > Sign-in risk > Medium, High > Grant > Block access (or require MFA). Entra admin center > Protection > Conditional Access."
"Conditional Access","Managed Device Required","No matching CA policy found","At least 1 policy","Fail","CA-DEVICE-001.1","Create a CA policy: Target All users > All cloud apps > Grant > Require device to be marked as compliant (or Hybrid Azure AD joined). Entra admin center > Protection > Conditional Access."
"Conditional Access","Managed Device for Security Info Registration","No matching CA policy found","At least 1 policy","Fail","CA-DEVICE-002.1","Create a CA policy: User actions > Register security information > Grant > Require compliant device. Entra admin center > Protection > Conditional Access."
"Conditional Access","Sign-in Frequency for Intune Enrollment","No matching CA policy found","At least 1 policy","Fail","CA-INTUNE-001.1","Create a CA policy: Target Microsoft Intune enrollment app > Session > Sign-in frequency = Every time. Entra admin center > Protection > Conditional Access."
"Conditional Access","Device Code Flow Blocked","No matching CA policy found","At least 1 policy","Fail","CA-DEVICECODE-001.1","Create a CA policy: Target All users > Conditions > Authentication flows > Device code flow > Grant > Block access. Entra admin center > Protection > Conditional Access."
