"Category","Setting","CurrentValue","RecommendedValue","Status","CheckId","Remediation"
"Authentication","Modern Authentication Enabled","True","True","Pass","EXO-AUTH-001.1","Exchange admin center > Settings > Modern authentication > Enable. Run: Set-OrganizationConfig -OAuth2ClientProfileEnabled $true"
"Email Security","Auto-Forward to External (Default Domain)","True","False","Fail","EXO-FORWARD-001.1","Run: Set-RemoteDomain -Identity Default -AutoForwardEnabled $false. Also consider transport rules to block client-side forwarding."
"OWA Policy","OWA Additional Storage (OwaMailboxPolicy-Default)","True","False","Warning","EXO-OWA-001.1","Run: Set-OwaMailboxPolicy -Identity OwaMailboxPolicy-Default -AdditionalStorageProvidersAvailable $false"
"Sharing","Default Calendar External Sharing","Enabled (Anonymous:CalendarSharingFreeBusyReviewer; *:CalendarSharingFreeBusySimple)","Restricted","Review","EXO-SHARING-001.1","Exchange admin center > Organization > Sharing > Default sharing policy. Remove wildcard (*) domains or restrict to CalendarSharingFreeBusySimple."
"Auditing","Mailboxes with Audit Bypass","0","0","Pass","EXO-AUDIT-002.1","Run: Set-MailboxAuditBypassAssociation -Identity <user> -AuditBypassEnabled $false for each bypassed mailbox."
"Authentication","SMTP AUTH Disabled (Org-Wide)","True","True","Pass","EXO-AUTH-002.1","Run: Set-TransportConfig -SmtpClientAuthenticationDisabled $true. Disable SMTP AUTH org-wide and enable per-mailbox only where required."
"Applications","Outlook Add-ins Allowed (Default Role Assignment Policy)","User add-ins allowed","Restricted","Review","EXO-ADDINS-001.1","Exchange admin center > Roles > User roles > Default Role Assignment Policy. Remove MyMarketplaceApps, MyCustomApps, MyReadWriteMailboxApps roles."
"Connection Filter","IP Allow List (Default)","Empty","Empty (0 IPs)","Pass","EXO-CONNFILTER-001.1","Run: Set-HostedConnectionFilterPolicy -Identity <Policy> -IPAllowList @{}. Exchange admin center > Protection > Connection filter > Edit the policy and remove all IP allow list entries."
"Connection Filter","Enable Safe List (Default)","False","False","Pass","EXO-CONNFILTER-002.1","Run: Set-HostedConnectionFilterPolicy -Identity <Policy> -EnableSafeList $false. Exchange admin center > Protection > Connection filter > Edit the policy and uncheck ""Turn on safe list""."
"Transport Rules","Domain whitelist transport rules","None found","No rules whitelisting domains","Pass","EXO-TRANSPORT-001.1","No action needed."
"Audit","Mailbox Auditing (sample of 1)","All 1 sampled mailboxes have auditing enabled","AuditEnabled = True","Pass","EXO-AUDIT-003.1","No action needed."
"Mail Flow","Inbound Connectors - Unauthenticated Relay","No unauthenticated relay connectors found","No open relay connectors","Pass","EXO-DIRECTSEND-001.1","No action needed."
