checkId,name,category,psSourceFile:line,psCallsNearby,graphEndpointsNearby,keepDrop,saasEndpointOrPortal,requiredAppRole
BACKUP-ENABLED-001,Ensure Microsoft 365 Backup is Enabled to Protect Backup CUI Confidentiality,BACKUP,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
CA-EXCLUSION-001,Privileged admins excluded from Conditional Access policies,CAEXCLUSION,Security/Get-StrykerIncidentReadiness.ps1:249,Get-MgIdentityConditionalAccessPolicy; Get-AdminMap,,TBD — needs research,Get-MgIdentityConditionalAccessPolicy; Get-AdminMap,TBD
CA-REMOTEDEVICE-001,Ensure Remote Access Enforces Device Compliance via Conditional Access,REMOTEDEVICE,Entra/Get-EntraCaRemoteDevicePolicy.ps1:90,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-ANTIMALWARE-001,Ensure the Common Attachment Types Filter is enabled,ANTIMALWARE,Security/DefenderAntiMalwareChecks.ps1:42,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-ANTIMALWARE-002,Ensure notifications for internal users sending malware is Enabled,ANTIMALWARE,Security/DefenderAntiMalwareChecks.ps1:70,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-ANTISPAM-002,Ensure inbound anti-spam policies do not contain allowed domains,ANTISPAM,Security/DefenderAntiSpamChecks.ps1:232,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-CFGDETECT-001,Ensure automated detection of misconfigured or unauthorized components,CFGDETECT,Security/Get-DefenderCfgDetectConfig.ps1:96,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-CLOUDAPPS-001,Ensure Microsoft Defender for Cloud Apps is enabled and configured,CLOUDAPPS,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-MALWARE-002,Ensure comprehensive attachment filtering is applied,MALWARE,Security/DefenderAntiMalwareChecks.ps1:106,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-OUTBOUND-001,Ensure outbound anti-spam message limits are in place,OUTBOUND,Security/DefenderAntiSpamChecks.ps1:172,Get-HostedOutboundSpamFilterPolicy,,TBD — needs research,Get-HostedOutboundSpamFilterPolicy,TBD
DEFENDER-PRIORITY-001,Ensure Priority account protection is enabled and configured,PRIORITY,Security/DefenderPresetZapChecks.ps1:29,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-PRIORITY-002,Ensure Priority accounts have 'Strict protection' presets applied,PRIORITY,Security/DefenderPresetZapChecks.ps1:45,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-REALTIMESCAN-001,Ensure Defender Antivirus real-time protection is enabled,REALTIMESCAN,Security/Get-DefenderScanConfig.ps1:111,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
DEFENDER-SAFEATTACH-002,Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled,SAFEATTACH,Security/DefenderSafeAttLinksChecks.ps1:253,Get-Command; Get-AtpPolicyForO365,,TBD — needs research,Get-Command; Get-AtpPolicyForO365,TBD
