"Category","Setting","CurrentValue","RecommendedValue","Status","CheckId","Remediation"
"Security Defaults","Security Defaults Enabled","True","True (if no Conditional Access)","Pass","ENTRA-SECDEFAULT-001.1","Run: Update-MgPolicyIdentitySecurityDefaultsEnforcementPolicy -IsEnabled $true. Entra admin center > Properties > Manage security defaults."
"Security Defaults","Security Defaults Enabled","Unable to retrieve","True (if no CA)","Review","ENTRA-SECDEFAULT-001.2","Run: Update-MgPolicyIdentitySecurityDefaultsEnforcementPolicy -IsEnabled $true. Entra admin center > Properties > Manage security defaults."
"Admin Accounts","Global Administrator Count","4","2-4","Pass","ENTRA-ADMIN-001.1","Run: Get-MgDirectoryRole -Filter ""displayName eq 'Global Administrator'"" | Get-MgDirectoryRoleMember. Maintain 2-4 global admins using dedicated accounts."
"Application Consent","User Consent for Applications","ManagePermissionGrantsForSelf.microsoft-user-default-recommended; ManagePermissionGrantsForSelf.microsoft-user-default-allow-consent-apps; ManagePermissionGrantsForOwnedResource.microsoft-dynamically-managed-permissions-for-team; ManagePermissionGrantsForOwnedResource.microsoft-dynamically-managed-permissions-for-chat","Do not allow user consent","Fail","ENTRA-CONSENT-001.1","Run: Update-MgPolicyAuthorizationPolicy -DefaultUserRolePermissions @{PermissionGrantPoliciesAssigned = @()}. Entra admin center > Enterprise applications > Consent and permissions."
"Application Consent","Users Can Register Applications","True","False","Fail","ENTRA-APPREG-001.1","Run: Update-MgPolicyAuthorizationPolicy -DefaultUserRolePermissions @{AllowedToCreateApps = $false}. Entra admin center > Users > User settings."
"Directory Settings","Users Can Create Security Groups","True","False","Warning","ENTRA-GROUP-001.1","Run: Update-MgPolicyAuthorizationPolicy -DefaultUserRolePermissions @{AllowedToCreateSecurityGroups = $false}. Entra admin center > Groups > General."
"Directory Settings","Non-Admin Tenant Creation Restricted","True","False","Warning","ENTRA-TENANT-001.1","Run: Update-MgPolicyAuthorizationPolicy -DefaultUserRolePermissions @{AllowedToCreateTenants = $false}. Entra admin center > Users > User settings."
"Application Consent","Admin Consent Workflow Enabled","False","True","Warning","ENTRA-CONSENT-002.1","Run: Update-MgPolicyAdminConsentRequestPolicy -IsEnabled $true. Entra admin center > Enterprise applications > Admin consent requests."
"Password Management","Auth Method Registration Campaign","default","enabled","Warning","ENTRA-MFA-001.1","Run: Update-MgBetaPolicyAuthenticationMethodPolicy with RegistrationEnforcement settings. Entra admin center > Protection > Authentication methods > Registration campaign."
"Authentication Methods","SMS Authentication","disabled","disabled","Pass","ENTRA-AUTHMETHOD-001.1","Entra admin center > Protection > Authentication methods > SMS > Disable. SMS is vulnerable to SIM-swapping attacks."
"Authentication Methods","Voice Call Authentication","disabled","disabled","Pass","ENTRA-AUTHMETHOD-001.2","Entra admin center > Protection > Authentication methods > Voice call > Disable. Voice is vulnerable to telephony-based attacks."
"Authentication Methods","Email OTP Authentication","disabled","disabled","Pass","ENTRA-AUTHMETHOD-002.1","Entra admin center > Protection > Authentication methods > Email OTP > Disable. Email OTP is a weaker authentication factor."
"Password Management","SSPR Registration Campaign Targets All Users","Disabled","Enabled for all users","Fail","ENTRA-SSPR-001.1","Entra admin center > Protection > Authentication methods > Registration campaign > Enable and target All Users."
"Password Management","Password Expiration: contoso.onmicrosoft.com","Never expires","Never expires (with MFA)","Pass","ENTRA-PASSWORD-001.1","Run: Update-MgDomain -DomainId {domain} -PasswordValidityPeriodInDays 2147483647. M365 admin center > Settings > Password expiration policy."
"Password Management","Password Expiration: contoso.com","Never expires","Never expires (with MFA)","Pass","ENTRA-PASSWORD-001.2","Run: Update-MgDomain -DomainId {domain} -PasswordValidityPeriodInDays 2147483647. M365 admin center > Settings > Password expiration policy."
"External Collaboration","Guest Invitation Policy","Everyone including guests","Admins and guest inviters only","Warning","ENTRA-GUEST-002.1","Run: Update-MgPolicyAuthorizationPolicy -AllowInvitesFrom 'adminsAndGuestInviters'. Entra admin center > External Identities > External collaboration settings."
"External Collaboration","Guest User Access Restriction","Limited access (default)","Restricted access","Warning","ENTRA-GUEST-001.1","Run: Update-MgPolicyAuthorizationPolicy -GuestUserRoleId '2af84b1e-32c8-42b7-82bc-daa82404023b'. Entra admin center > External Identities > External collaboration settings."
"Conditional Access","Total CA Policies","0","1+","Info","ENTRA-CA-002.1","Informational — review Conditional Access policy coverage for your organization."
"Conditional Access","Enabled CA Policies","0","1+","Warning","ENTRA-CA-003.1","Run: Get-MgIdentityConditionalAccessPolicy | Where-Object {$_.State -eq 'enabled'}. Ensure policies are set to On, not Report-only."
"External Collaboration","Guest User Count","2","Review periodically","Info","ENTRA-GUEST-003.1","Informational — review and remove stale guest accounts periodically. Entra admin center > Users > Guest users."
"Device Management","Azure AD Join Restriction","All users allowed","Restricted to specific users/groups","Fail","ENTRA-DEVICE-001.1","Entra admin center > Devices > Device settings > Users may join devices to Microsoft Entra > Selected. Restrict to a specific group of authorized users."
"Device Management","Maximum Devices Per User","50","15 or fewer","Fail","ENTRA-DEVICE-002.1","Entra admin center > Devices > Device settings > Maximum number of devices per user. Set to 15 or lower."
"Device Management","Global Admins as Local Admin on Join","Enabled","Disabled","Fail","ENTRA-DEVICE-003.1","Entra admin center > Devices > Device settings > Global administrator is added as local administrator on the device during Azure AD Join > No."
"Directory Settings","LinkedIn Account Connections","Enabled","Disabled","Fail","ENTRA-LINKEDIN-001.1","Entra admin center > Users > User settings > LinkedIn account connections > No. Prevents data leakage between LinkedIn and organizational directory."
"Authentication Methods","Per-user MFA (Legacy)","Review -- verify no per-user MFA states are set to Enforced or Enabled","All per-user MFA disabled (use CA policies)","Review","ENTRA-PERUSER-001.1","Entra admin center > Users > Per-user MFA > Ensure all users show Disabled. Use Conditional Access policies for MFA enforcement instead of per-user MFA."
"Application Consent","Third-party Integrated Apps Restricted","Allowed","Restricted","Fail","ENTRA-APPS-001.1","Entra admin center > Users > User settings > Users can register applications > No. Also review Enterprise applications > User settings > Users can consent to apps."
"External Collaboration","Guest Invitation Domain Restrictions","Open (invites: everyone)","Restricted to allowed domains only","Fail","ENTRA-GUEST-004.1","Entra admin center > External Identities > External collaboration settings > Collaboration restrictions > Allow invitations only to the specified domains."
"External Collaboration","Dynamic Group for Guest Users","No dynamic guest group found","At least 1 dynamic group for guests","Fail","ENTRA-GROUP-002.1","Entra admin center > Groups > New group > Membership type = Dynamic User > Rule: (user.userType -eq ""Guest""). This enables targeted policies for guest users."
"Device Management","Local Admin Assignment on Entra Join","Additional local admins configured: 0","Minimal local admin assignment","Pass","ENTRA-DEVICE-004.1","Entra admin center > Devices > Device settings > Manage Additional local administrators on all Azure AD joined devices. Minimize additional local admins."
"Device Management","Local Administrator Password Solution (LAPS)","Disabled","Enabled","Fail","ENTRA-DEVICE-005.1","Entra admin center > Devices > Device settings > Enable Microsoft Entra Local Administrator Password Solution (LAPS) > Yes."
"Device Management","BitLocker Recovery Key Restriction","Review -- verify users cannot read own BitLocker keys","Users restricted from recovering BitLocker keys","Review","ENTRA-DEVICE-006.1","Entra admin center > Devices > Device settings > Restrict users from recovering the BitLocker key(s) for their owned devices > Yes."
"Authentication Methods","System-Preferred MFA","not configured","enabled","Fail","ENTRA-AUTHMETHOD-004.1","Entra admin center > Protection > Authentication methods > Settings > System-preferred multifactor authentication > Enabled."
"Privileged Identity Management","PIM Manages Privileged Roles","No permanent GA assignments","No permanent Global Admin assignments","Pass","ENTRA-PIM-001.1","Entra admin center > Identity Governance > Privileged Identity Management > Azure AD roles > Global Administrator > Remove permanent active assignments. Use eligible assignments with time-bound activation."
"Privileged Identity Management","Access Reviews for Guest Users","Requires Entra ID P2 license -- Access Reviews API returned 403","At least 1 access review for guests","Review","ENTRA-PIM-002.1","This check requires Entra ID P2 (included in M365 E5). Entra admin center > Identity Governance > Access reviews."
"Privileged Identity Management","Access Reviews for Privileged Roles","Requires Entra ID P2 license -- Access Reviews API returned 403","At least 1 access review for admin roles","Review","ENTRA-PIM-003.1","This check requires Entra ID P2 (included in M365 E5). Entra admin center > Identity Governance > Access reviews."
"Privileged Identity Management","GA Activation Requires Approval","Requires Entra ID P2 license -- PIM Policies API returned 403","Yes","Review","ENTRA-PIM-004.1","This check requires Entra ID P2 (included in M365 E5). Entra admin center > Identity Governance > PIM > Azure AD roles > Settings."
"Privileged Identity Management","PRA Activation Requires Approval","Requires Entra ID P2 license -- PIM Policies API returned 403","Yes","Review","ENTRA-PIM-005.1","This check requires Entra ID P2 (included in M365 E5). Entra admin center > Identity Governance > PIM > Azure AD roles > Settings."
