checkId,name,category,psSourceFile:line,psCallsNearby,graphEndpointsNearby,keepDrop,saasEndpointOrPortal,requiredAppRole
BACKUP-ENABLED-001,Ensure Microsoft 365 Backup is Enabled to Protect Backup CUI Confidentiality,BACKUP,,,,"Drop — PS-only (Purview SCC/PowerShell, no Graph parity)",Portal: Purview compliance portal,— (portal remediation)
CA-EXCLUSION-001,Privileged admins excluded from Conditional Access policies,CAEXCLUSION,Security/Get-StrykerIncidentReadiness.ps1:249,Get-MgIdentityConditionalAccessPolicy; Get-AdminMap,,Keep — Graph exists (Entra),"Graph /policies/*, /roleManagement/directory/*, /groups, /organization",Policy.Read.All / RoleManagement.Read.Directory / Group.Read.All
CA-REMOTEDEVICE-001,Ensure Remote Access Enforces Device Compliance via Conditional Access,REMOTEDEVICE,Entra/Get-EntraCaRemoteDevicePolicy.ps1:90,,,Keep — Graph exists (Entra),"Graph /policies/*, /roleManagement/directory/*, /groups, /organization",Policy.Read.All / RoleManagement.Read.Directory / Group.Read.All
DEFENDER-ANTIMALWARE-001,Ensure the Common Attachment Types Filter is enabled,ANTIMALWARE,Security/DefenderAntiMalwareChecks.ps1:42,,,"Drop — PS-only (EXO cmdlet, no Graph)",Portal: Exchange admin center > Threat policies,— (portal remediation)
DEFENDER-ANTIMALWARE-002,Ensure notifications for internal users sending malware is Enabled,ANTIMALWARE,Security/DefenderAntiMalwareChecks.ps1:70,,,"Drop — PS-only (EXO cmdlet, no Graph)",Portal: Exchange admin center > Threat policies,— (portal remediation)
DEFENDER-ANTISPAM-002,Ensure inbound anti-spam policies do not contain allowed domains,ANTISPAM,Security/DefenderAntiSpamChecks.ps1:232,,,"Drop — PS-only (EXO cmdlet, no Graph)",Portal: Exchange admin center > Threat policies,— (portal remediation)
DEFENDER-CFGDETECT-001,Ensure automated detection of misconfigured or unauthorized components,CFGDETECT,Security/Get-DefenderCfgDetectConfig.ps1:96,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-CLOUDAPPS-001,Ensure Microsoft Defender for Cloud Apps is enabled and configured,CLOUDAPPS,,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-MALWARE-002,Ensure comprehensive attachment filtering is applied,MALWARE,Security/DefenderAntiMalwareChecks.ps1:106,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-OUTBOUND-001,Ensure outbound anti-spam message limits are in place,OUTBOUND,Security/DefenderAntiSpamChecks.ps1:172,Get-HostedOutboundSpamFilterPolicy,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-PRIORITY-001,Ensure Priority account protection is enabled and configured,PRIORITY,Security/DefenderPresetZapChecks.ps1:29,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-PRIORITY-002,Ensure Priority accounts have 'Strict protection' presets applied,PRIORITY,Security/DefenderPresetZapChecks.ps1:45,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-REALTIMESCAN-001,Ensure Defender Antivirus real-time protection is enabled,REALTIMESCAN,Security/Get-DefenderScanConfig.ps1:111,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
DEFENDER-SAFEATTACH-002,Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled,SAFEATTACH,Security/DefenderSafeAttLinksChecks.ps1:253,Get-Command; Get-AtpPolicyForO365,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-SECUREMON-001,Ensure continuous security monitoring via Microsoft Secure Score,SECUREMON,Security/Get-DefenderSecureMonConfig.ps1:83,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-SECURESCORE-001,Microsoft Secure Score Posture,SECURESCORE,,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
DEFENDER-VULNSCAN-001,Ensure vulnerability scanning is active via Defender for Endpoint,VULNSCAN,Security/Get-DefenderVulnScanConfig.ps1:93,,,"Drop — PS-only (no Graph, portal remediation)",Portal: Microsoft Defender portal,— (portal remediation)
